"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_22_loc70_20141220_PICT0243"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0251"	"hog"	"hog"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0262"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0272"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0005"	"hoofed.animal"	"hoofed.animal"	0.916666666666667	0.916666666666667	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0006"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0007"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0009"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0010"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0011"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0012"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0013"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0014"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0015"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0017"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0018"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0019"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0020"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0022"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0023"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0024"	"hog"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_22_loc71_20140924_PICT0027"	"hoofed.animal"	"hoofed.animal"	0.857142857142857	0.857142857142857	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0028"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0029"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0030"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0031"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0032"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0033"	"hoofed.animal"	"hoofed.animal"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0034"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0036"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0038"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0039"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0040"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0041"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0042"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0043"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0044"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0045"	"hoofed.animal"	"hoofed.animal"	0.9	0.9	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0048"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0049"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0050"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0051"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0052"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0053"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0055"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0057"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0058"	"blank"	"blank"	NA	NA	"Consensus blank"
