"Video.ID"	"Vernacular.Name"	"Species"	"Umbrella.Duiker.Species"	"Umbrella.Species"	"Number.Individuals"
"TaiEast_19_loc37_20140926_EK000232"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000235"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000236"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000237"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000238"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000239"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000241"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000242"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000243"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000245"	"Human"	"human"	"human"	"human"	1
"TaiEast_19_loc37_20140926_EK000246"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000247"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000248"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000249"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000250"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	1
"TaiEast_19_loc37_20140926_EK000253"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_19_loc37_20140926_EK000253"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	1
"TaiEast_19_loc37_20140926_EK000254"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000254"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	9
"TaiEast_19_loc37_20140926_EK000255"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	7
"TaiEast_19_loc37_20140926_EK000255"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
