"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_54_loc101_20141218_EK000008"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000010"	"red river hog"	"red river hog"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000011"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc101_20141218_EK000012"	"small grey duiker"	"small grey duiker"	0.636363636363636	0.636363636363636	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000013"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc101_20141218_EK000014"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000015"	"small grey duiker"	"small grey duiker"	0.6	0.6	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000016"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000017"	"small grey duiker"	"small grey duiker"	0.571428571428571	0.571428571428571	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000018"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000019"	"chimpanzee"	"chimpanzee"	1	1	"Consensus reached"
"TaiEast_54_loc101_20150126_EK000004"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_54_loc93_20140725_EK000017"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_54_loc93_20140725_EK000021"	"red river hog"	"red river hog"	1	1	"Consensus reached"
"TaiEast_54_loc93_20140725_EK000022"	"red river hog"	"red river hog"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_54_loc93_20140725_EK000024"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc93_20140725_EK000025"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc93_20140725_EK000027"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc93_20140725_EK000028"	"red duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc93_20140725_EK000029"	"red river hog"	"red river hog"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_54_loc93_20140725_EK000031"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc93_20140725_EK000032"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc93_20140725_EK000033"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140725_EK000004"	"red duiker"	"red duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000005"	"red duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_55_loc102_20140725_EK000006"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140725_EK000009"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140725_EK000010"	"small grey duiker"	"small grey duiker"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000012"	"small grey duiker"	"small grey duiker"	0.75	0.75	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000013"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000014"	"small grey duiker"	"small grey duiker"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000015"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000017"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000018"	"red duiker"	"red duiker"	0.7	0.7	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000019"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140725_EK000020"	"red duiker"	"red duiker"	0.7	0.7	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000021"	"other (primate)"	"other (primate)"	0.875	0.875	"Consensus reached"
"TaiEast_55_loc102_20140725_EK000026"	"small grey duiker"	"small grey duiker"	0.625	0.625	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000143"	"small grey duiker"	"red duiker"	0.545454545454545	0.363636363636364	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000144"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000146"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000148"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000149"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000150"	"other (non-primate)"	"blank"	NA	NA	"Consensus blank"
"TaiEast_55_loc102_20140811_EK000152"	"red duiker"	"red duiker"	0.555555555555556	0.555555555555556	"Consensus reached"
"TaiEast_55_loc102_20140811_EK000154"	"blank"	"blank"	NA	NA	"Consensus blank"
